,sentence,score,predict
108,Iam very pleased with my purchase.,1.0,1.0
109,I was very excited to get this headset because I thought it was really cute.,1.0,0.0
110,"Muddy, low quality sound, and the casing around the wire's insert was poorly super glued and slid off.",0.0,0.0
111,What a waste of money and time!.,0.0,0.0
112,Protects the phone on all sides.,1.0,1.0
113,"I like the fact that it rests lightly against your ear, rather than inside.",1.0,0.0
114,Thank you for such great service.,1.0,1.0
115,What a piece of junk.. I lose more calls on this phone.,0.0,0.0
116,Rip off---- Over charge shipping.,0.0,0.0
117,Buyer--Be Very Careful!!!!!.,0.0,1.0
118,"Using all earpieces, left or right, this thing will not stay on my ear.",0.0,0.0
119,And the sound quality is great.,1.0,1.0
120,"I would recommend purchasing the Jabra JX-10 series 2 which works flawlessly with my Moto Q, go figure.",1.0,1.0
121,I cannot make calls at certain places.,0.0,0.0
122,These products cover up the important light sensor above the ear outlet.,0.0,0.0
123,This is a beautiful phone.,1.0,1.0
124,The headset fulfills my requirements so I am happy with my purchase.,1.0,1.0
125,Don't waste your money!.,0.0,0.0
126,I have tried these cables with my computer and my iPod and it works just fine.,1.0,1.0
127,I purcashed this for the car charger and it does not work.,0.0,1.0
128,"The screen size is big, key pad lit well enough, and the camera quality is excellent for a camera phone.",1.0,1.0
129,This case seems well made.,1.0,1.0
130,It doesn't make you look cool.,0.0,0.0
131,Only had this a month but it's worked flawlessly so far.,1.0,1.0
132,"It's a great tool for entertainment, communication, and data management.Oh, be sure to use ActiveSync 4.2 for optimal data synchronization results!",1.0,1.0
133,Lasted one day and then blew up.,0.0,1.0
134,"The biggest complaint I have is, the battery drains superfast.",0.0,0.0
135,Stay Away From the Q!.,0.0,0.0
136,Chinese Forgeries Abound!.,0.0,0.0
137,I checked everywhere and there is no feature for it which is really disappointing.,0.0,0.0
138,"The calls drop, the phone comes on and off at will, the screen goes black and the worst of all it stops ringing intermittently.",0.0,0.0
139,"It's so stupid to have to keep buying new chargers, car chargers, cradles, headphones and car kits every time a new phone comes out.",0.0,1.0
140,The battery is unreliable as well as the service use antena.,0.0,0.0
141,I have had mine for about a year and this Christmas I bought some for the rest of the family.,1.0,0.0
142,Don't make the same mistake that I did and please don't buy this phone.,0.0,0.0
143,I found this product to be waaay too big.,0.0,0.0
144,"If you hate earbugs, avoid this phone by all means.",0.0,0.0
145,The eargels channel the sound directly into your ear and seem to increase the sound volume and clarity.,1.0,0.0
146,The cutouts and buttons are placed perfectly.,1.0,1.0
147,I highly recommend this modest priced cellular phone.,1.0,1.0
148,I was amazed at the quick arrival of the two original lg cell phone batteries and and at a fraction of the price.,1.0,1.0
149,It was that loud.Glad to say that the Plantronics 510 maintains a flawless connection to my cell and with no static during normal use.,1.0,0.0
150,I love this cable - it allows me to connect any mini-USB device to my PC.,1.0,1.0
151,You'll love how thin it is.,1.0,1.0
152,Good Quality.,1.0,1.0
153,Great price also!,1.0,1.0
154,Jawbone Era is awesome too!,1.0,1.0
155,Not impressed.,0.0,0.0
156,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0.0,0.0
157,This is definitely a must have if your state does not allow cell phone usage while driving.,1.0,0.0
158,Headset works great & was packaged nicely to avoid any damage.,1.0,1.0
159,"If you like a loud buzzing to override all your conversations, then this phone is for you!",0.0,0.0
160,This phone is very fast with sending any kind of messages and web browsing is significantly faster than previous phones i have used.,1.0,1.0
161,"Best of all is the rotating feature, very helpful.",1.0,1.0
162,Cant get the software to work with my computer.,0.0,0.0
163,Kind of flops around.,0.0,0.0
164,Dont waste your money...,0.0,0.0
165,The Ngage is still lacking in earbuds.,0.0,0.0
166,You can't beat the price on these.,1.0,1.0
167,Reversible plug works great.,1.0,1.0
168,I have to jiggle the plug to get it to line up right to get decent volume.,0.0,0.0
169,Razr Battery - Good buy.,1.0,1.0
170,Then a few days later the a puff of smoke came out of the phone while in use.,0.0,0.0
171,Buy a different phone - but not this.,0.0,0.0
172,They made this case too small and is very difficult to install.,0.0,1.0
173,After receiving and using the product for just 2 days it broke.,0.0,0.0
174,It also had a new problem.,0.0,0.0
175,I really like this product over the Motorola because it is allot clearer on the ear piece and the mic.,1.0,0.0
176,"I put the latest OS on it (v1.15g), and it now likes to slow to a crawl and lock up every once in a while.",0.0,0.0
177,Sprint charges for this service.,0.0,0.0
178,"I was sitting in my vehicle, with the cradle on my belt, and the headset lost signal.",0.0,1.0
179,The price was very good and with the free shipping and all it was a good purchase.,1.0,1.0
180,poor quality and service.,0.0,0.0
181,"bad fit, way too big.",0.0,0.0
182,I bought this battery with a coupon from Amazon and I'm very happy with my purchase.,1.0,1.0
183,I love the ringtones because they are so upbeat!,1.0,1.0
184,Disappointing accessory from a good manufacturer.,0.0,0.0
185,I advise EVERYONE DO NOT BE FOOLED!,0.0,0.0
186,The sound is clear and the people I talk to on it are amazed at the quality too.,1.0,0.0
187,It is so small and you don't even realize that it is there after a while of getting used to it.,1.0,0.0
188,"Works great, when my cat attacked the phone he scratched the protective strip instead of destroying the screen.",1.0,1.0
189,Product was excellent and works better than the verizon one and Boy was it cheaper!,1.0,1.0
190,The best electronics of the available FM Transmitters.,1.0,1.0
191,Great sound and service.,1.0,1.0
192,Mic Doesn't work.,0.0,0.0
193,"Provides good protection and looks classy, too.",1.0,1.0
194,"I have had TMobile service for 2 or 3 years now, and I am pretty happy with it.",1.0,1.0
195,"As an earlier review noted, plug in this charger and nothing happens.",0.0,0.0
196,good protection and does not make phone too bulky.,1.0,0.0
197,Virgin Wireless rocks and so does this cheap little phone!,1.0,0.0
198,This phone tries very hard to do everything but fails at it's very ability to be a phone.,0.0,1.0
199,"You get extra minutes so that you can carry out the call and not get cut off.""",1.0,0.0
